OrderHash,Block,Action,Price,Quantity,OrderType,Subaccount
0x6b14889,0,EVENT_NEW,50033.68,5,SELL,0
0x2a7d5171,0,EVENT_NEW,49995.57,8,SELL,3
0x2938b15,0,EVENT_NEW,50005.18,8,SELL,4
0x1c92f6f3,0,EVENT_NEW,49988.74,5,SELL,5
0x115cd63f,0,EVENT_NEW,50008.98,5,BUY_CANCEL,6
0xb5b5524,0,EVENT_NEW,50009.85,1,SELL,7
0x8805c62,0,EVENT_NEW,50047.59,8,BUY,8
0x38141402,0,EVENT_NEW,49963.92,6,SELL,9
0x45db036,0,EVENT_NEW,49967.46,1,BUY,11
0x2d7ad296,0,EVENT_NEW,50000.77,2,BUY,13
0x279a64,0,EVENT_NEW,49979.72,10,SELL,14
0x3199ed6f,0,EVENT_NEW,49992.06,1,SELL,15
0x618e5bf,0,EVENT_NEW,50009.26,3,SELL,16
0x257f7853,0,EVENT_NEW,50035.72,9,SELL_CANCEL,18
0x2dc7b327,0,EVENT_NEW,49989.87,3,SELL,19
0x14d80e6f,0,EVENT_NEW,50001.86,7,BUY,20
0xfdb2347,0,EVENT_NEW,49996.61,8,BUY,21
0x3b73f8f6,0,EVENT_NEW,50017.41,9,SELL,22
0x261884c6,0,EVENT_NEW,49978.27,1,SELL,23
0x31ec1611,0,EVENT_NEW,49992.59,8,BUY,24
0x131cffb,0,EVENT_NEW,49997.03,9,SELL,25
0x2b7c5e15,0,EVENT_NEW,49966.86,7,BUY_CANCEL,26
0x4106e9c,0,EVENT_NEW,50032.1,4,SELL,28
0x3311d9e6,0,EVENT_NEW,49965.0,7,SELL,29
0xc4947a8,0,EVENT_NEW,50017.65,4,SELL,30
0x6e0d8e9,0,EVENT_NEW,49978.98,1,SELL,32
0x35a433,0,EVENT_NEW,49995.85,8,SELL,36
0x3ac33356,0,EVENT_NEW,49954.71,6,SELL,37
0x90f6c52,0,EVENT_NEW,49950.81,9,SELL_CANCEL,38
0x8e88ff3,0,EVENT_NEW,50025.79,2,BUY,39
0x329b6a94,0,EVENT_NEW,49978.72,5,SELL,40
0xb35bade,0,EVENT_NEW,50027.98,9,BUY_CANCEL,41
0x33124a57,0,EVENT_NEW,49956.69,5,BUY,42
0x544b035,0,EVENT_NEW,50009.29,10,BUY,44
0x3b0638d7,0,EVENT_NEW,49975.95,6,BUY_CANCEL,45
0x376c29a3,0,EVENT_NEW,49973.06,8,BUY,48
0x34dc39de,0,EVENT_NEW,49963.05,5,SELL,50
0x3066f1e1,0,EVENT_NEW,49951.98,3,BUY,51
0x1b8880de,0,EVENT_NEW,50044.03,5,BUY,52
0x804a11a,0,EVENT_NEW,49965.01,1,BUY_CANCEL,54
0x20818789,0,EVENT_NEW,50021.66,9,SELL,55
0x16fabae8,0,EVENT_NEW,49951.42,8,BUY,56
0x316e8ada,0,EVENT_NEW,49950.66,4,SELL,57
0x1a341f36,0,EVENT_NEW,49990.38,8,BUY,59
0x98e7bf0,0,EVENT_NEW,49968.58,7,BUY,60
0x36d71581,0,EVENT_NEW,49965.08,1,BUY,63
0x33b3be26,0,EVENT_NEW,50046.12,4,BUY,64
0x18de1772,0,EVENT_NEW,50021.07,8,SELL,67
0x1b91ec58,0,EVENT_NEW,50011.92,9,BUY_CANCEL,68
0x1a62663c,0,EVENT_NEW,49979.08,3,BUY_CANCEL,69
0x83a4970,0,EVENT_NEW,49970.74,7,SELL,70
0x2958e835,0,EVENT_NEW,50033.55,1,SELL,71
0x365a10ef,0,EVENT_NEW,49967.31,6,BUY,72
0xe4cabaa,0,EVENT_NEW,49990.46,7,SELL,73
0x2a4c78cf,0,EVENT_NEW,49965.34,1,SELL_CANCEL,76
0x1885d691,0,EVENT_NEW,49958.55,10,SELL,78
0x1f80a0fa,0,EVENT_NEW,50026.01,8,BUY_CANCEL,80
0x9b34082,0,EVENT_NEW,50020.79,2,SELL_CANCEL,81
0x222e2385,0,EVENT_NEW,50024.39,6,SELL,82
0x3a73835c,0,EVENT_NEW,49989.48,1,SELL,83
0x2605129,0,EVENT_NEW,49976.05,2,BUY,85
0x30ca87d7,0,EVENT_NEW,49955.48,4,BUY,86
0x6b275fe,0,EVENT_NEW,50013.59,6,SELL,87
0x2b5c232b,0,EVENT_NEW,49998.46,3,BUY,88
0x151feea1,0,EVENT_NEW,50015.54,5,SELL,89
0x1c394c20,0,EVENT_NEW,50001.69,8,SELL,91
0x27b86543,0,EVENT_NEW,49966.68,6,BUY,92
0xda9c240,0,EVENT_NEW,49971.45,10,BUY,93
0x2ea6bacf,0,EVENT_NEW,50038.01,6,SELL,94
0x8a2f9d6,0,EVENT_NEW,50037.93,2,SELL_CANCEL,96
0x325e7f0a,0,EVENT_NEW,49989.09,2,BUY,97
0x12f7086d,0,EVENT_NEW,50006.58,6,BUY,98
0x3076f0c4,0,EVENT_NEW,49990.61,9,BUY_CANCEL,99
0xe47a797,1,EVENT_NEW,49960.02,9,BUY,0
0x1f081f95,1,EVENT_NEW,49980.42,5,SELL,3
0x21929046,1,EVENT_NEW,49967.68,9,SELL,5
0x1a2be8c7,1,EVENT_NEW,50012.49,7,BUY,6
0x2b0617a4,1,EVENT_NEW,50030.03,5,SELL,7
0x4ab350c,1,EVENT_NEW,50037.19,3,SELL_CANCEL,8
0x24296ec8,1,EVENT_NEW,49992.97,9,SELL,9
0x3294e33,1,EVENT_NEW,49962.4,3,BUY,10
0x1102abc0,1,EVENT_NEW,49977.87,2,SELL,11
0x2086cf16,1,EVENT_NEW,49971.9,9,SELL_CANCEL,12
0x153b1d56,1,EVENT_NEW,49958.3,6,SELL,14
0x1b3008b0,1,EVENT_NEW,50030.46,3,BUY,15
0x11440431,1,EVENT_NEW,50042.91,1,BUY_CANCEL,16
0x1741e3a,1,EVENT_NEW,50044.3,2,SELL,17
0x8a8b2c8,1,EVENT_NEW,49998.04,6,BUY_CANCEL,18
0xb6d2bc3,1,EVENT_NEW,49981.7,1,SELL,19
0x319fa78,1,EVENT_NEW,50006.0,3,SELL,21
0x2ddebe99,1,EVENT_NEW,50031.17,6,SELL,22
0x38836ffa,1,EVENT_NEW,50034.14,6,SELL,23
0xf7697ce,1,EVENT_NEW,50016.08,3,SELL,24
0x33af3f67,1,EVENT_NEW,49979.79,2,BUY,25
0xdc439e,1,EVENT_NEW,50036.07,9,SELL_CANCEL,26
0x26b86fd3,1,EVENT_NEW,50002.44,10,SELL,27
0x147f685b,1,EVENT_NEW,49974.89,4,SELL_CANCEL,28
0xcade910,1,EVENT_NEW,50031.41,6,SELL_CANCEL,29
0x3145a82c,1,EVENT_NEW,49982.79,1,BUY,30
0x3a7eb8d9,1,EVENT_NEW,50020.77,9,BUY_CANCEL,32
0x102a7be5,1,EVENT_NEW,49955.94,1,SELL,33
0x2cf26d6,1,EVENT_NEW,49990.94,3,BUY,35
0x21a02fa5,1,EVENT_NEW,49964.95,10,SELL,36
0x310c4081,1,EVENT_NEW,49950.86,3,SELL,37
0xde2e83e,1,EVENT_NEW,49964.71,5,SELL,38
0x95c4ed9,1,EVENT_NEW,49991.62,9,SELL,39
0x120ad45b,1,EVENT_NEW,49951.0,4,BUY,40
0x3393b791,1,EVENT_NEW,49961.16,10,BUY_CANCEL,41
0x8c191fd,1,EVENT_NEW,50040.81,5,BUY,42
0x4ea600b,1,EVENT_NEW,50029.67,10,BUY,44
0x30c1558c,1,EVENT_NEW,49966.85,4,SELL,45
0x1b7554f0,1,EVENT_NEW,50028.36,5,SELL,47
0xf682dd2,1,EVENT_NEW,49974.28,4,BUY_CANCEL,49
0x237ce081,1,EVENT_NEW,50018.7,7,SELL,50
