    OrderHash,Block,Action,Price,Quantity,OrderType,SubaccountID
    DId4bWHNabcM6nJj9F6mNoXCSMj4u5LY8LsNQu5eBws=,96000099,EVENT_NEW,95757000000,0.0783,BUY_PO,0x5303d92e49a619bb29de8fb6f59c0e7589213cc8000000000000000000000001
    oFwdmwSibjh39vwVcHn7keyIc8M/5yxFLQhb3uP1JH0=,96000099,EVENT_CANCEL,95817000000,0.1096,SELL_PO,0x21596b451da15002ebbb91661f7f5e9f2f372343000000000000000000000011
    3yZALNOgbXrHUXPGFlftvvOhB9bL9ztw6y6/+spsYEU=,96000099,EVENT_NEW,95748000000,0.0836,BUY_PO,0xed8c4c43e03e24b7f12975472da771ce2f8b857c000000000000000000000000
    oFwdmwSibjh39vwVcHn7keyIc8M/5yxFLQhb3uP1JH0=,96000099,EVENT_NEW,95817000000,0.1096,SELL_PO,0x21596b451da15002ebbb91661f7f5e9f2f372343000000000000000000000011
dvDkxOCnQVJtV4tm0VV+XLyl8UjOvlHkZjsLomFhR4k=,96000099,EVENT_CANCEL,95748000000,0.0783,BUY_PO,0x5303d92e49a619bb29de8fb6f59c0e7589213cc8000000000000000000000001
bXSC8vvUpEgBdge+jEIkSqb03bk/DlH6lFVS/ZRvtZI=,96000099,EVENT_CANCEL,95898000000,0.287,SELL,0xbcc871dab5a507624e55afeaa93610a424c446cc000000000000000000000000
wGqL+cRW9LxkbORMSH5yIYEmusMuFrvME9wozCCYNWQ=,96000099,EVENT_CANCEL,95827000000,0.1096,SELL_PO,0x21596b451da15002ebbb91661f7f5e9f2f372343000000000000000000000011
vYp2qJKvmyvK/SI7DGiY5ivRSRyjDmdXB63KSBz1ZpU=,96000099,EVENT_NEW,95714000000,1.6183,BUY_PO,0x5303d92e49a619bb29de8fb6f59c0e7589213cc8000000000000000000000004
dMelLZHNVCu8iy4ShYPCQ0UWZiWjwRQhMJ1Ti51ZgmM=,96000099,EVENT_NEW,95760000000,0.0783,SELL_PO,0x5303d92e49a619bb29de8fb6f59c0e7589213cc8000000000000000000000001
wGqL+cRW9LxkbORMSH5yIYEmusMuFrvME9wozCCYNWQ=,96000098,EVENT_NEW,95827000000,0.1096,SELL_PO,0x21596b451da15002ebbb91661f7f5e9f2f372343000000000000000000000011
anSIv0Y6QDdC/CqujPka6Nfhzo7ammUhm612uKtnuNQ=,96000098,EVENT_CANCEL,95770000000,0.2872,SELL,0xed8c4c43e03e24b7f12975472da771ce2f8b857c000000000000000000000000
637PqCh/RSVhlDhOO8SJ07zgROczHpZfcBWPts8MSLs=,96000097,EVENT_NEW,95767000000,1.6183,SELL_PO,0x5303d92e49a619bb29de8fb6f59c0e7589213cc8000000000000000000000004
+XOyaI4YHB0RJYNYIMIo/O6oYRZiYNRoHATaZR+h8ok=,96000097,EVENT_CANCEL,95749000000,0.0836,SELL_PO,0xed8c4c43e03e24b7f12975472da771ce2f8b857c000000000000000000000000
Y3qo7QsmkfMYmKpFUXbKjysKywkYznLogBOK4Ltl0SI=,96000097,EVENT_CANCEL,95730000000,0.2872,BUY,0xed8c4c43e03e24b7f12975472da771ce2f8b857c000000000000000000000000
rv38L8rqNYi53D6V/0eUa+86cUOk0YMYMv9gdk4B7ZM=,96000097,EVENT_CANCEL,95699000000,1.6183,BUY_PO,0x5303d92e49a619bb29de8fb6f59c0e7589213cc8000000000000000000000004
DnOME2/XB6kzcDBP1HevphHsmBgk5vKe2OSiT33XXrk=,96000097,EVENT_CANCEL,95761000000,1.6183,SELL_PO,0x5303d92e49a619bb29de8fb6f59c0e7589213cc8000000000000000000000004
ZtA5EdWRWMJMMz8PZX7vDWCbFX7bI82eV9/7P7Kks9w=,96000097,EVENT_CANCEL,95751000000,0.0783,SELL_PO,0x5303d92e49a619bb29de8fb6f59c0e7589213cc8000000000000000000000001
qRIfqGZF2jZxYs8g1ohKCTjxWi8RF1gibZT3VaS7fpg=,96000097,EVENT_CANCEL,95781000000,0.1097,SELL_PO,0x21596b451da15002ebbb91661f7f5e9f2f372343000000000000000000000011
qRIfqGZF2jZxYs8g1ohKCTjxWi8RF1gibZT3VaS7fpg=,96000097,EVENT_NEW,95781000000,0.1097,SELL_PO,0x21596b451da15002ebbb91661f7f5e9f2f372343000000000000000000000011
lz4P6rHcKLFa3Zg/lm6LxJOLDpL1bDMdNtd8oXjRi6A=,96000096,EVENT_CANCEL,95792000000,0.1097,SELL_PO,0x21596b451da15002ebbb91661f7f5e9f2f372343000000000000000000000011
5wz1IPW1Mxdpa6b48nvQ3AWfVu1EsKtkwUfrYlAainI=,96000096,EVENT_CANCEL,95834000000,0.287,SELL,0xbcc871dab5a507624e55afeaa93610a424c446cc000000000000000000000000
lz4P6rHcKLFa3Zg/lm6LxJOLDpL1bDMdNtd8oXjRi6A=,96000094,EVENT_NEW,95792000000,0.1097,SELL_PO,0x21596b451da15002ebbb91661f7f5e9f2f372343000000000000000000000011
HXC2ARLqch7xfFHiZLZ7NgGq7ze2xuqWLe42Da1FnB4=,96000094,EVENT_CANCEL,95755000000,0.2872,SELL,0xed8c4c43e03e24b7f12975472da771ce2f8b857c000000000000000000000000
DIpd3icFjxu5AXEqLohTc5MSDuqR3P+99g4/AYQaPmI=,96000093,EVENT_CANCEL,95748000000,0.0836,BUY_PO,0xed8c4c43e03e24b7f12975472da771ce2f8b857c000000000000000000000000
ouxqJpd3Ts/VwoKs4VL+ETdfUljIjQnBzSANXiutf90=,96000093,EVENT_CANCEL,95729000000,0.2872,BUY,0xed8c4c43e03e24b7f12975472da771ce2f8b857c000000000000000000000000
PiRQ0FFy07jb31HHlMQtpPOmEtefOBJndkeTleTtMU4=,96000093,EVENT_CANCEL,95768000000,0.2872,SELL,0xed8c4c43e03e24b7f12975472da771ce2f8b857c000000000000000000000000
5bSmCjGRIVv1bzORX3HcVgjvoQRQhjWD1TxF39a0ksI=,96000093,EVENT_CANCEL,95776000000,0.1097,SELL_PO,0x21596b451da15002ebbb91661f7f5e9f2f372343000000000000000000000011
bRnpZA4BxxSw8a+/2e5sJXc/rKfvvlx32nmD3RhkMTA=,96000093,EVENT_CANCEL,95758000000,0.0835,SELL_PO,0xed8c4c43e03e24b7f12975472da771ce2f8b857c000000000000000000000000
DIpd3icFjxu5AXEqLohTc5MSDuqR3P+99g4/AYQaPmI=,96000093,EVENT_NEW,95748000000,0.0836,BUY_PO,0xed8c4c43e03e24b7f12975472da771ce2f8b857c000000000000000000000000
+XOyaI4YHB0RJYNYIMIo/O6oYRZiYNRoHATaZR+h8ok=,96000093,EVENT_NEW,95749000000,0.0836,SELL_PO,0xed8c4c43e03e24b7f12975472da771ce2f8b857c000000000000000000000000
EO71sniZLkCD1DbB2qQmHzH+ZKHpdXm+gwnr211/t4U=,96000092,EVENT_CANCEL,95749000000,0.0836,BUY_PO,0xed8c4c43e03e24b7f12975472da771ce2f8b857c000000000000000000000000
DXyDfa4dSMkgTvYJgn+rh1BadLGSzIpKyXwY9x77cag=,96000092,EVENT_CANCEL,95750000000,0.0836,SELL_PO,0xed8c4c43e03e24b7f12975472da771ce2f8b857c000000000000000000000000
n1OF1xjrkNycp+2W3oLHdRQgeehfN8q6yTwheTL4BNE=,96000092,EVENT_CANCEL,95728000000,0.2872,BUY,0xed8c4c43e03e24b7f12975472da771ce2f8b857c000000000000000000000000
bRnpZA4BxxSw8a+/2e5sJXc/rKfvvlx32nmD3RhkMTA=,96000092,EVENT_NEW,95758000000,0.0835,SELL_PO,0xed8c4c43e03e24b7f12975472da771ce2f8b857c000000000000000000000000
